sinonom_char,am_han_viet,all_readings
凢,phàm,phàm
凣,phàm,phàm
凤,phượng,phượng
凥,cư,cư
処,xứ,xứ xử
凫,phù,phù
凭,bằng,bằng bẵng
凮,phong,phong phúng
凯,khải,khải
凰,hòang,hòang
凱,khải,khải
凳,đắng,đắng
凴,bằng,bằng
凵,khảm,khảm
凶,hung,hung
凷,khối,khối
凸,đột,đột
凹,ao,ao
出,xuất,xuất xúy xích
击,kích,kích
函,hòm,hòm hàm
凾,hàm,hàm hòm
凿,tạc,tạc
刀,đao,đao
刁,điêu,điêu
刂,đao,đao
刃,nhẫn,nhẫn nhận
刄,lượng,lượng lạng nhẫn
刅,sang,sang sáng
分,phân,phân phần phận
切,thiết,thiết thế
刈,ngải,ngải
刊,san,san khan
刋,khan,khan san
刌,thổn,thổn
刍,so,so
刎,vẫn,vẫn
刑,hình,hình
划,hoa,hoa họa họach quả vạch
刓,ngoan,ngoan vườn
刔,quyết,quyết
刖,ngọat,ngọat nguyệt
列,liệt,liệt
刘,lưu,lưu
则,tắc,tắc
刚,cang,cang
创,sáng,sáng
初,sơ,sơ
刟,xẻo,xẻo
删,san,san
判,phán,phán
別,biết,biết biệt
刦,kiếp,kiếp
刧,kiếp,kiếp
刨,bào,bào
利,lợi,lợi
刪,san,san
别,biết,biết
刬,sạn,sạn
刭,hĩnh,hĩnh
刮,quát,quát
到,đáo,đáo
刱,sang,sang sáng
刲,khuê,khuê
刳,khô,khô
刵,nhĩ,nhĩ nhị
制,chế,chế
刷,lóat,lóat xóat loát
券,khóan,khóan
刹,sát,sát
刺,thích,thích thứ
刻,khắc,khắc hặc
刼,kiếp,kiếp
刽,khóai,khóai
刿,quế,quế
剀,cai,cai
剂,tễ,tễ
剃,thế,thế
剄,hĩnh,hĩnh kinh
則,tắc,tắc
剉,tỏa,tỏa
削,tước,tước sảo
剋,khắc,khắc
剌,lạt,lạt
前,tiền,tiền tiễn
剎,sát,sát
剏,sang,sang sáng
剐,quả,quả
剑,kiếm,kiếm
剔,dịch,dịch thế
剖,bo,bo phẫu
剗,sạn,sạn sản xẻng
剙,sáng,sáng
剚,chí,chí trí tứ
剛,cang,cang cương
剜,oan,oan
剝,bóc,bóc bác phốc
剞,cơ,cơ kỉ kỳ kỷ ỷ
剟,xuyết,xuyết
剠,kinh,kinh kình lược
剡,diệm,diệm
剣,kiếm,kiếm
剤,tễ,tễ
剥,bác,bác bóc
剦,yêm,yêm
剧,cưa,cưa
剩,thặng,thặng
剪,tiện,tiện tiễn
剮,quả,quả
副,phó,phó phốc phức
剰,thặng,thặng thừa
剱,kiếm,kiếm
割,cắt,cắt cát
剳,tráp,tráp chép
剴,cai,cai cái khải
創,sáng,sáng sang
剷,xẻng,xẻng sản
剸,chuyên,chuyên chuyển
剽,phiêu,phiêu phiếu phiểu
剿,tiễu,tiễu
劂,khóet,khóet quyết khoét
劃,vạch,vạch họach
劄,chép,chép tráp trát
劇,kịch,kịch
劈,phách,phách
劉,lưu,lưu
劊,khóai,khóai quái
劌,quế,quế
劍,kiếm,kiếm
劎,kiếm,kiếm
劑,tễ,tễ tề tệ
劒,kiếm,kiếm
劓,nhị,nhị tị tỵ
劔,kiếm,kiếm
劕,chặt,chặt
劖,sàm,sàm thiền
劘,mi,mi my
劚,chủ,chủ
力,lực,lực sức
劝,khuyến,khuyến
办,biện,biện
功,công,công
加,gia,gia
务,vụ,vụ
劢,mại,mại
劣,liệt,liệt
劤,kình,kình
动,động,động
助,trợ,trợ
努,nỗ,nỗ
劫,kiếp,kiếp
劬,cù,cù
劭,thiệu,thiệu
励,lệ,lệ
劲,cứng,cứng
劳,lao,lao
労,lao,lao
劵,quyển,quyển
効,hiệu,hiệu
劻,khuông,khuông
劼,cật,cật
劾,hạch,hạch hặc
势,thế,thế
勁,cứng,cứng kình kính
勃,bột,bột
勄,mẫn,mẫn
勅,sắc,sắc
勇,dũng,dũng
勉,miễn,miễn mẫn
勋,huân,huân
勌,quyển,quyển quyện
勍,kình,kình
勐,mãnh,mãnh
勑,sắc,sắc lai lại
勒,lắc,lắc lặc
勔,miễn,miễn mẫn
動,động,động
勖,húc,húc úc
勗,húc,húc úc
勘,khám,khám
務,vụ,vụ vũ
勚,duệ,duệ
勛,huân,huân
勝,thắng,thắng thăng
勞,lao,lao lạo
募,mộ,mộ
勠,lục,lục
勢,thế,thế
勣,tích,tích
勤,cần,cần
勦,tẹo,tẹo tiễu
勧,cần,cần
勩,duệ,duệ
勰,hiệp,hiệp hiếp
勱,mại,mại
勲,huân,huân
勳,huân,huân
勵,lệ,lệ
勷,nhương,nhương
勸,khuyến,khuyến
勹,bao,bao
勺,chước,chước thược
勻,quân,quân
勾,câu,câu cấu
勿,vật,vật
匀,quân,quân
匁,lạng,lạng lưỡng
匂,cái,cái
匃,cái,cái
匄,cái,cái
包,bao,bao
匆,thông,thông
匈,hung,hung
匊,cúc,cúc
匋,đào,đào
匍,bò,bò bồ
匏,bầu,bầu biều bào
匐,bặc,bặc
匕,chủy,chủy trủy tỷ
化,hóa,hóa hoa hoá
北,bắc,bắc bối bội
匘,não,não
匙,thi,thi
匚,phương,phương
匛,cữu,cữu
匜,di,di dị
匝,táp,táp tạp
匟,kháng,kháng
匠,tượng,tượng
匡,khuôn,khuôn khuông
匣,hộp,hộp hạp
匦,qũy,qũy
匧,kiếp,kiếp
匪,phỉ,phỉ
匬,tủ,tủ
匭,qũy,qũy
匮,quĩ,quĩ
匯,hối,hối hội
匱,quĩ,quĩ qũy
匲,liêm,liêm
匳,liêm,liêm
匵,độc,độc
匸,hễ,hễ hệ
匹,thất,thất mộc
区,khu,khu âu
医,y,y ế
匼,hộp,hộp hạp ảm
匽,yển,yển
匾,biền,biền biển
匿,nặc,nặc
區,khu,khu âu
十,thập,thập
卂,tín,tín
千,thiên,thiên
卄,chấp,chấp
卅,tạp,tạp táp
卆,thốt,thốt tốt
升,thăng,thăng
午,ngọ,ngọ
卉,hủy,hủy
半,bán,bán
卋,thế,thế
卌,tấp,tấp
卍,vạn,vạn
华,hoa,hoa
协,hiếp,hiếp
卐,vạn,vạn
卑,ti,ti ty
卒,tốt,tốt thốt tuất
卓,trác,trác
協,hiếp,hiếp hiệp
单,đơn,đơn
卖,mại,mại
南,nam,nam na năm
単,đan,đan đơn thiền
博,bác,bác
卜,bốc,bốc bặc
卞,biện,biện
占,chiêm,chiêm chiếm
卡,ca,ca khải sá tạp
卢,lư,lư
卣,dữu,dữu
卤,lỗ,lỗ
卦,quái,quái
卧,ngọa,ngọa
卩,tiết,tiết
卫,vệ,vệ
卬,ngang,ngang
卭,cung,cung ngang
卮,chi,chi
卯,mão,mão mẹo
印,ấn,ấn
危,nguy,nguy qụy
卲,ngọeo,ngọeo thiều thiệu ngoẹo
即,tức,tức
却,khước,khước ngang tức
卵,côn,côn nõan
卷,quyển,quyển quyến quyền
卸,tá,tá
卹,tuất,tuất
卺,cẩn,cẩn
卻,khước,khước
卽,tức,tức
卿,khanh,khanh
厂,hán,hán xưởng
厃,diêm,diêm nguy qụy thiềm
厄,ách,ách ngỏa
厅,sảnh,sảnh
历,lẹ,lẹ
厉,lẹ,lẹ
压,áp,áp
厌,ướm,ướm
厍,xá,xá
