sinonom_char,am_han_viet,all_readings
複,phức,phức hạ
褊,biền,biền biển
褌,côn,côn
褎,dữu,dữu hựu tụ
褏,dữu,dữu hựu tụ
褐,cát,cát hạt
褒,bao,bao bầu
褓,bìu,bìu bảo
褕,du,du
褘,huy,huy y
褙,bối,bối
褚,trử,trử trữ
褛,lũ,lũ
褝,đan,đan đơn thiền
褞,uấn,uấn ôn
褟,thạp,thạp
褢,hòai,hòai
褥,nhục,nhục
褦,lặc,lặc nại
褧,qúynh,qúynh
褪,thóai,thóai thối thốn
褫,sỉ,sỉ
褱,hòai,hòai
褲,khố,khố
褴,lam,lam
褵,li,li ly sái sỉ
褶,chấp,chấp triệp tập điệp
褸,lũ,lũ
褺,điệp,điệp
褻,tiết,tiết điệp
襀,tích,tích
襁,cưỡng,cưỡng
襃,bao,bao bầu bậu
襄,tương,tương
襆,bọc,bọc bộc phộc
襊,túi,túi
襌,thiền,thiền đan đơn
襍,tạp,tạp tập
襏,bát,bát phất
襕,lan,lan
襖,áo,áo
襘,cổi,cổi
襚,tọai,tọai tùy tụy
襛,nông,nông nùng
襜,xiêm,xiêm
襝,xiêm,xiêm
襞,bích,bích
襟,khâm,khâm
襠,đang,đang đương
襡,thục,thục độc
襢,triển,triển đản
襤,lam,lam
襦,nhu,nhu
襪,miệt,miệt mạt vạt
襫,thích,thích
襭,hiệt,hiệt
襮,bộc,bộc
襯,sấn,sấn
襲,tập,tập
襴,lan,lan
襵,nếp,nếp triệp
襻,phán,phán
襼,nghệ,nghệ
襾,á,á
西,tây,tây tê
覀,á,á tây tê
要,yếu,yếu yêu
覃,diễm,diễm đàm
覆,phú,phú phúc hạ
覇,bá,bá phách
覈,hạch,hạch
覉,ki,ki
覊,ki,ki ky
見,kiến,kiến hiện
覌,quan,quan
規,qui,qui quy
覐,giác,giác giáo
覓,mịch,mịch
覔,mịch,mịch
視,thị,thị
覗,tư,tư
覘,chiêm,chiêm siêm xem
覚,giác,giác giáo
覜,diểu,diểu thiếu
覡,hích,hích
覥,diễn,diễn điến điển điễn
覦,du,du
覧,lãm,lãm
覩,đổ,đổ đủ
親,thân,thân thấn
覬,kí,kí ký
覯,cấu,cấu
覰,thứ,thứ
覲,cẩn,cẩn cận
観,quan,quan quán
覵,gián,gián kiến
覶,la,la loa
覷,kiến,kiến thứ
覺,giác,giác giáo
覼,kiến,kiến la
覽,lãm,lãm
覿,địch,địch
觀,quan,quan quán
见,kiến,kiến
观,quan,quan
规,qui,qui
觅,mịch,mịch
视,thị,thị
觇,chiêm,chiêm
览,lãm,lãm
觉,giác,giác
觊,kí,kí
觋,hích,hích
觌,địch,địch
觍,diễn,diễn
觎,du,du
觏,cấu,cấu
觐,cẩn,cẩn
觑,kiến,kiến
角,góc,góc cốc giác giốc lộc
觔,cân,cân
觕,thô,thô
觖,khụy,khụy quyết
觚,cô,cô
觜,chủy,chủy tuy tủy tư thở
觝,để,để
觞,thương,thương
觟,khóe,khóe khoé
觡,gạc,gạc
解,giải,giải giái giới
觥,quang,quang quăng
触,xúc,xúc
觧,giải,giải
觩,cầu,cầu
觫,tốc,tốc
觭,cơ,cơ khi ky kỳ
觯,chi,chi
觱,tất,tất
觳,giác,giác hạc hộc xác
觴,thương,thương tràng trường
觵,quang,quang
觶,chi,chi chí
觸,xúc,xúc
觿,huề,huề
言,ngôn,ngôn ngân lời
訁,ngôn,ngôn
訂,đính,đính
訃,phó,phó
訇,hoanh,hoanh
計,kể,kể kê kế
訊,tấn,tấn
訌,hồng,hồng
討,thảo,thảo
訏,hu,hu hủ
訐,kiết,kiết yết
訑,di,di nãn tha đà đản
訒,nhẫn,nhẫn
訓,huấn,huấn
訕,san,san sán
訖,cật,cật ngật
託,thác,thác
記,kí,kí ký
訚,ngân,ngân
訛,ngoa,ngoa
訝,nhạ,nhạ
訟,tụng,tụng
訠,thẩn,thẩn
訡,ngâm,ngâm
訢,hi,hi hy hân
訣,quyết,quyết
訥,dốt,dốt nột
訦,thầm,thầm
訩,hung,hung
訪,phỏng,phỏng phóng
訬,miểu,miểu sao
設,thiết,thiết thết
許,hứa,hứa hổ hử
訳,dịch,dịch
訴,tố,tố
訶,ha,ha
診,chẩn,chẩn
註,chú,chú
証,chứng,chứng
訽,cấu,cấu
訾,ti,ti ty tí tý tỳ
詀,chiêm,chiêm siệp điêm
詁,cổ,cổ hỗ
詅,linh,linh
詆,để,để
詈,lị,lị
詋,chú,chú
詎,cự,cự
詐,trá,trá
詑,di,di tha
詒,di,di đãi
詔,chiếu,chiếu
評,bình,bình
詖,bí,bí
詗,húynh,húynh qúynh
詘,khuất,khuất truất
詛,trớ,trớ trở
詞,từ,từ
詟,triệp,triệp
詠,vịnh,vịnh
詡,hu,hu hủ
詢,tuân,tuân
詣,nghệ,nghệ
詤,hoang,hoang
試,thí,thí
詧,sát,sát
詩,thi,thi
詫,sá,sá
詬,cấu,cấu gâu
詭,ngụy,ngụy qủy
詮,thuyên,thuyên
詰,cật,cật
話,thọai,thọai thoại
該,cai,cai
詳,tường,tường dương
詵,sân,sân
詹,chiêm,chiêm đạm
詻,ngạch,ngạch ách
詼,khôi,khôi
詾,hung,hung
詿,quái,quái
誂,điếu,điếu điệu
誃,xỉ,xỉ
誄,lụy,lụy lỗi
誅,tru,tru
誆,cuống,cuống
誇,khoa,khoa khỏa
誉,dự,dự
誊,đằng,đằng
誌,chí,chí
認,nhận,nhận
誐,nga,nga
誑,cuống,cuống
誒,ai,ai hy
誓,thề,thề thệ
誕,đản,đản
誖,bội,bội
誘,dụ,dụ
誚,tiếu,tiếu
語,ngữ,ngữ ngứ ngự
誠,thành,thành
誡,giới,giới
誣,vu,vu
誤,ngộ,ngộ
誥,cáo,cáo
誦,tụng,tụng
誨,hối,hối
誩,cạnh,cạnh
說,thuyết,thuyết
説,thuyết,thuyết duyệt thuế
読,đậu,đậu độc
誰,thùy,thùy
課,khóa,khóa khoá
誶,tối,tối
誹,phỉ,phỉ
誼,nghị,nghị
誾,ngân,ngân
調,điều,điều điệu
諁,xuýt,xuýt
諂,siểm,siểm
諄,chuân,chuân truân
諆,khi,khi
談,đàm,đàm
諉,dụy,dụy ủy
諊,cúc,cúc
請,thỉnh,thỉnh tình tính
諌,gián,gián
諍,tranh,tranh tránh
諏,tưu,tưu
諐,khiên,khiên
諑,trác,trác
諒,lượng,lượng lạng
諕,hào,hào hách
論,luận,luận luân
諗,thẩm,thẩm
諛,hùa,hùa du
諜,điệp,điệp
諝,tư,tư
諞,biển,biển
諟,thị,thị đế
諠,huyên,huyên
諡,thụy,thụy
諢,hộn,hộn ngộn
諤,ngạc,ngạc
諦,đế,đế đề
諧,hài,hài
諩,phả,phả
諫,gián,gián
諬,khải,khải khể khởi
諭,dụ,dụ
諮,ti,ti ty tư
諱,húy,húy huý
諳,am,am
諴,hàm,hàm
諵,nam,nam nôm
諶,thầm,thầm kham
諷,phúng,phúng
諸,chư,chư gia
諺,ngạn,ngạn
諼,huyên,huyên
諾,nặc,nặc
謀,mưu,mưu
謁,yết,yết
謂,vị,vị
謄,đằng,đằng
謅,sưu,sưu sảo xảo
謆,phiến,phiến
謇,kiển,kiển
謊,hoang,hoang
謌,ca,ca
謎,mê,mê
謐,mật,mật mịch
謑,hệ,hệ
謔,hước,hước
謖,tắc,tắc
謗,báng,báng
謙,khiêm,khiêm khiểm khiệm
謚,thụy,thụy tự ích
講,giảng,giảng
謝,tạ,tạ
謟,thao,thao
謠,dao,dao
謡,dao,dao
謦,khánh,khánh
謨,mô,mô
謫,trích,trích
謬,mậu,mậu
謭,tiễn,tiễn
謱,làu,làu
謳,âu,âu
謷,ngao,ngao ngạo
謹,cẩn,cẩn
謼,hô,hô
謾,man,man mạn
譁,hoa,hoa
譅,sáp,sáp
譆,hi,hi hy
譈,đỗi,đỗi
證,chứng,chứng
譌,ngoa,ngoa
譍,ưng,ưng ứng
譎,quyệt,quyệt
譏,cơ,cơ ki ky kỵ
譐,ton,ton
譔,sọan,sọan
譖,tiếm,tiếm trấm
識,chí,chí thức
譙,tiếu,tiếu tiều
譚,đàm,đàm
譛,trấm,trấm
譜,phả,phả phổ
譟,táo,táo tháo
警,khểnh,khểnh cảnh
譫,chiêm,chiêm thiêm thiềm
譬,thí,thí
譭,hủy,hủy
譯,dịch,dịch
議,nghị,nghị
譱,thiện,thiện
譲,nhượng,nhượng
譴,khiển,khiển
護,hộ,hộ
譸,trù,trù
譹,hiệu,hiệu hạo
譼,giám,giám
譽,dự,dự
譾,tiễn,tiễn
讀,độc,độc đậu
讁,trích,trích
讃,tán,tán
讅,thẩm,thẩm
變,biến,biến biện
讋,triệp,triệp
讌,yên,yên yến
讍,ngạc,ngạc
讎,thù,thù
讐,thù,thù cừu
讒,sàm,sàm
讓,nhường,nhường nhượng
讕,lan,lan
讖,sám,sám sấm
讘,chiếp,chiếp
讙,hoan,hoan hóan huyên
讚,tán,tán
讛,nghệ,nghệ
讜,đảng,đảng
讞,nghiễn,nghiễn nghiện
讟,độc,độc
计,kể,kể
订,đính,đính
讣,phó,phó
认,nhận,nhận
讥,cơ,cơ
讦,kiết,kiết
讧,hồng,hồng
讨,thảo,thảo
让,nhường,nhường
讪,san,san
讫,cật,cật
讬,thác,thác
训,huấn,huấn
议,nghị,nghị
讯,tấn,tấn
记,kí,kí
讱,nhẫn,nhẫn
讲,giảng,giảng
讳,huý,huý
讴,âu,âu
讵,cự,cự
讶,nhạ,nhạ
讷,dốt,dốt
许,hứa,hứa
讹,ngoa,ngoa
论,luận,luận
讼,tụng,tụng
讽,phúng,phúng
设,thết,thết
访,phỏng,phỏng
诀,quyết,quyết
证,chứng,chứng
诂,cổ,cổ
诃,ha,ha
评,bình,bình
诅,trớ,trớ
识,chí,chí
诇,húynh,húynh
诈,trá,trá
诉,tố,tố
诊,chẩn,chẩn
诋,để,để
诌,sưu,sưu
词,từ,từ
诎,khuất,khuất
诏,chiếu,chiếu
诐,bí,bí
译,dịch,dịch
诒,di,di
诓,cuống,cuống
诔,lụy,lụy
试,thí,thí
诖,quái,quái
诗,thi,thi
诘,cật,cật
诙,khôi,khôi
诚,thành,thành
诛,tru,tru
诜,sân,sân
话,thoại,thoại
诞,đản,đản
诟,cấu,cấu
诠,thuyên,thuyên
诡,ngụy,ngụy
询,tuân,tuân
诣,nghệ,nghệ
诤,tranh,tranh
该,cai,cai
详,tường,tường
诧,sá,sá
诨,hộn,hộn
诩,hu,hu
诪,trù,trù
诫,giới,giới
诬,vu,vu
语,ngữ,ngữ
诮,tiếu,tiếu
误,ngộ,ngộ
诰,cáo,cáo
诱,dụ,dụ
诲,hối,hối
诳,cuống,cuống
说,thuyết,thuyết
诵,tụng,tụng
诶,ai,ai
请,thỉnh,thỉnh
诸,chư,chư
诹,tưu,tưu
诺,nặc,nặc
读,độc,độc
诼,trác,trác
诽,phỉ,phỉ
课,khoá,khoá
诿,dụy,dụy
谀,hùa,hùa
谁,thùy,thùy
谂,thẩm,thẩm
调,điều,điều
谄,siểm,siểm
谅,lượng,lượng
谆,chuân,chuân
谇,tối,tối
谈,đàm,đàm
谉,thẩm,thẩm
谊,nghị,nghị
谋,mưu,mưu
谌,thầm,thầm
谍,điệp,điệp
谎,hoang,hoang
谏,gián,gián
谐,hài,hài
谑,hước,hước
谒,yết,yết
谓,vị,vị
谔,ngạc,ngạc
谕,dụ,dụ
谖,huyên,huyên
谗,sàm,sàm
谘,ti,ti
谙,am,am
谚,ngạn,ngạn
谛,đế,đế
谜,mê,mê
谝,biển,biển
谞,tư,tư
谟,mô,mô
谠,đảng,đảng
谡,tắc,tắc
谢,tạ,tạ
谣,dao,dao
谤,báng,báng
谥,thụy,thụy
谦,khiêm,khiêm
谧,mật,mật
谨,cẩn,cẩn
谩,man,man
谪,trích,trích
谫,tiễn,tiễn
谬,mậu,mậu
谭,đàm,đàm
谮,tiếm,tiếm
谯,tiếu,tiếu
谰,lan,lan
谱,phả,phả
谲,quyệt,quyệt
谳,nghiễn,nghiễn
谴,khiển,khiển
谵,chiêm,chiêm
谶,sám,sám
谷,cốc,cốc dục lộc
谺,ha,ha
谽,hàm,hàm
谿,khê,khê hóat hề
豁,hóat,hóat khóat
豆,đậu,đậu
豇,giang,giang
豈,khải,khải khỉ khởi
豉,xị,xị thị
豊,lễ,lễ phong
豋,đăng,đăng
豌,ỏan,ỏan uyển
豎,thụ,thụ
豏,hãm,hãm
豐,phong,phong
豓,diễm,diễm
豔,diễm,diễm
豕,thỉ,thỉ
豗,hôi,hôi
豘,đồn,đồn
豚,đồn,đồn độn
豜,kiên,kiên
豝,ba,ba
象,tượng,tượng tương
豢,họan,họan
豣,kiên,kiên
豦,cứ,cứ
豨,hi,hi hy
豪,hào,hào
豫,dự,dự tạ
豬,trư,trư
豭,gia,gia
豮,phần,phần
豳,bân,bân
豴,nhích,nhích
豵,tông,tông
豶,phần,phần
豸,trại,trại trãi trĩ
豹,beo,beo báo
豺,sài,sài
豻,ngan,ngan ngạn
豼,tì,tì tỳ
貂,điêu,điêu
貅,hươu,hươu hưu
貆,hoan,hoan hòan
貉,hào,hào hạc lạc mạ mạch
貊,mạch,mạch
貌,mạc,mạc mạo mộc
貍,li,li ly mai uất
貎,nghê,nghê
貓,mèo,mèo miêu
貔,tì,tì tỳ
貘,mô,mô mạc mạch
貛,hoan,hoan
貜,cước,cước quặc
貝,buổi,buổi bối
貞,trinh,trinh
負,phụ,phụ
財,tài,tài
貢,cống,cống
貤,di,di dị
貧,bần,bần
貨,hóa,hóa hoá
販,phiến,phiến phán
貪,tham,tham
貫,quan,quan oan quán
責,trách,trách trái
貭,chất,chất
貮,nhị,nhị
貯,trữ,trữ
貰,thởi,thởi thế
貲,ti,ti ty tý
貳,nhị,nhị
貴,qúy,qúy quý
貶,biếm,biếm
買,mãi,mãi
貸,thải,thải thắc
貺,huống,huống
費,phí,phí bí bỉ phất phỉ
貼,thiếp,thiếp
貽,di,di
貿,mậu,mậu
賀,hạ,hạ
賁,bí,bí bôn phần phẩn phẫn
賂,lộ,lộ
賃,nhấm,nhấm nhẫm
賄,hối,hối
賅,cai,cai hời
資,tư,tư
賈,cổ,cổ giá giả
賉,tuất,tuất
賊,tặc,tặc
賍,tang,tang
賎,tiện,tiện
賑,chẩn,chẩn
賓,tân,tân thấn
賔,tân,tân
賕,cầu,cầu
賙,chu,chu
賚,lãi,lãi lại
賛,tán,tán
賜,tứ,tứ
賝,sâm,sâm
賞,thưởng,thưởng
賠,bồi,bồi
賡,canh,canh
賢,hiền,hiền hiện
賣,mại,mại
賤,tiện,tiện
賥,đút,đút
賦,phú,phú
賨,tung,tung
質,chất,chất chí
賫,tê,tê
賬,trướng,trướng
賭,đổ,đổ
賮,tẫn,tẫn
賴,lại,lại
賵,phúng,phúng
賷,tê,tê
賸,thặng,thặng thứng
賺,trám,trám
賻,phụ,phụ
購,cấu,cấu
賽,trại,trại tái
賾,trách,trách
贁,bại,bại
贃,trám,trám
贄,chí,chí trập
贅,chuế,chuế
贇,uân,uân
贈,tặng,tặng
贉,đảm,đảm
贊,tán,tán
贋,nhạn,nhạn
贍,thiệm,thiệm
贏,doanh,doanh
贐,tẫn,tẫn
贒,hiền,hiền
贓,tang,tang
贔,bí,bí
贖,chuộc,chuộc thục
贗,nhạn,nhạn
贛,cám,cám cảm cống
贜,tang,tang
贝,buổi,buổi
贞,trinh,trinh
负,phụ,phụ
贡,cống,cống
财,tài,tài
责,trách,trách
贤,hiền,hiền
败,bại,bại
账,trướng,trướng
货,hoá,hoá
质,chất,chất
贩,phiến,phiến
贪,tham,tham
贫,bần,bần
贬,biếm,biếm
购,cấu,cấu
贮,trữ,trữ
贯,quan,quan
贰,nhị,nhị
贱,tiện,tiện
贲,bí,bí
贳,thởi,thởi
贴,thiếp,thiếp
贵,quý,quý
贶,huống,huống
贷,thải,thải
贸,mậu,mậu
费,phí,phí
贺,hạ,hạ
贻,di,di
贼,tặc,tặc
贽,chí,chí
贾,cổ,cổ
贿,hối,hối
赀,ti,ti
赁,nhấm,nhấm
赂,lộ,lộ
赃,tang,tang
资,tư,tư
赅,cai,cai
赆,tẫn,tẫn
赇,cầu,cầu
赈,chẩn,chẩn
赉,lãi,lãi
赋,phú,phú
赌,đổ,đổ
赍,tê,tê
赎,chuộc,chuộc
赏,thưởng,thưởng
赐,tứ,tứ
赑,bí,bí
赒,chu,chu
赓,canh,canh
赔,bồi,bồi
赖,lại,lại
赗,phúng,phúng
赘,chuế,chuế
赙,phụ,phụ
赚,trám,trám
赛,trại,trại
赜,trách,trách
赝,nhạn,nhạn
赞,tán,tán
赟,uân,uân
赠,tặng,tặng
赡,thiệm,thiệm
赢,doanh,doanh
赣,cám,cám
赤,xích,xích thích
赦,xá,xá
赧,nấn,nấn nõan nỏan
赪,sanh,sanh
赫,hách,hách
赬,sanh,sanh trinh xanh
赭,giả,giả
走,tẩu,tẩu chạy
赱,tẩu,tẩu
赳,củ,củ
赴,phó,phó
赵,triệu,triệu
赶,cản,cản
起,khởi,khởi khỉ
赸,san,san
赿,khích,khích trì
趁,sấn,sấn
趂,sấn,sấn
趄,thiết,thiết thư
超,siêu,siêu
越,việt,việt họat
趋,xu,xu
趑,tư,tư
趒,khêu,khêu
趕,cản,cản
趙,triệu,triệu
趟,thảng,thảng tranh
趠,rượt,rượt
趣,thú,thú xúc
趦,tư,tư
趨,xu,xu xúc
趫,kiều,kiều nghiêu
趮,tháo,tháo
趯,dược,dược địch
趱,tỏan,tỏan
趲,tỏan,tỏan
足,túc,túc tú chân
趵,bác,bác báo
趸,độn,độn
趹,quyết,quyết quế
趺,phu,phu
趼,kiển,kiển nghiễn
趾,nhảy,nhảy chỉ
趿,kịp,kịp
跂,khí,khí kì kĩ kịch kỳ xí
跃,dược,dược
跄,thương,thương
跅,thác,thác
跆,đài,đài
跋,bạt,bạt
跌,trặc,trặc trật điệt
跎,đà,đà
跏,gia,gia già
跐,thải,thải
跑,bào,bào
跕,chồm,chồm thiếp điệt
跖,chích,chích thác
跗,phu,phu phụ
跙,thiết,thiết thư trở
跚,san,san
跛,bí,bí bả
距,cựa,cựa cự
跞,lạc,lạc
跟,ngấn,ngấn cân căn ngân
跡,tích,tích
跢,đá,đá
跣,tiên,tiên tiển
跤,giao,giao
跥,đọa,đọa
跧,thuyên,thuyên
跨,khóa,khóa
跩,dậy,dậy
跪,qùy,qùy qụy quỳ
跫,cung,cung củng
跬,khỏe,khỏe khuể khoẻ
跮,chọi,chọi
路,lộ,lộ lạc
跱,trĩ,trĩ
跲,cáp,cáp cấp kiếp
跳,khêu,khêu khiêu đào
跴,thải,thải tẩy
践,tiễn,tiễn
跶,thát,thát
跷,nghều,nghều
跸,tất,tất
跹,tiên,tiên
跺,đọa,đọa
跻,tê,tê
跼,cục,cục
跿,đồ,đồ
踁,khanh,khanh
踆,thuân,thuân tồn
踈,sơ,sơ
踉,lương,lương lượng
踊,dũng,dũng
踋,cước,cước
踌,trù,trù
踏,đạp,đạp
踐,tiễn,tiễn
踔,xợt,xợt trác xước
踖,tếch,tếch tích
踘,guốc,guốc
踝,hõa,hõa hỏa khõa khỏa
踞,cứ,cứ
踟,trì,trì
踠,ỏan,ỏan uyển
踡,quyền,quyền
踢,thích,thích
踣,vội,vội bặc phấu
踤,nhót,nhót
踦,cơ,cơ khi kì kỉ kỷ ỷ
踧,túc,túc địch
踪,tông,tông tung
踬,chí,chí
踯,trịch,trịch
踰,du,du dũ
踱,đạc,đạc
踴,dõng,dõng dũng
踵,chủng,chủng
踶,trì,trì trĩ đề đệ
踸,chậm,chậm
踹,sọai,sọai sủy đóan
踽,chủ,chủ củ
蹀,điệp,điệp
蹁,biên,biên biển
蹂,nhu,nhu nhụ nhựu
蹄,đế,đế đề
蹆,thủi,thủi
蹇,kiễng,kiễng giản kiển
蹈,dạo,dạo đạo
蹉,tha,tha sa
蹊,hề,hề
蹋,tháp,tháp đạp
蹌,thương,thương
蹎,chân,chân
蹏,đề,đề đế
蹐,tích,tích
蹑,nhiếp,nhiếp
蹒,bàn,bàn
蹔,tạm,tạm
蹕,tất,tất
蹙,túc,túc xúc
蹜,tốc,tốc súc xúc
蹝,sỉ,sỉ
蹟,tích,tích
蹠,chích,chích
蹡,thương,thương
蹢,nhích,nhích trịch đích
蹣,bàn,bàn man
蹤,tung,tung tông
蹧,tao,tao
蹩,biết,biết biệt
蹬,đăng,đăng đặng
蹭,thặng,thặng
蹮,tiên,tiên
蹰,trù,trù
蹲,thuẫn,thuẫn tồn tỗn
蹴,thúc,thúc xúc
蹵,thúc,thúc
蹶,quyết,quyết quệ
蹷,quyết,quyết
蹹,tháp,tháp
蹺,nghều,nghều khiêu nghiêu
蹻,kều,kều cược kiều kiểu nghiêu
蹼,bốc,bốc phốc
蹽,trèo,trèo
躁,tháo,tháo táo
躂,thát,thát đáp
躄,tích,tích
躅,sộc,sộc trọc trục xộc trạc
躇,chứa,chứa sước trù trừ xước
躉,độn,độn
躊,trù,trù
躋,tê,tê tễ
躍,dược,dược thích
躎,giẫy,giẫy
躏,lận,lận
躐,láp,láp liệp
躑,trịch,trịch
躒,lạc,lạc lịch
躓,chí,chí tri trí
躔,triền,triền
躕,trù,trù
躗,vệ,vệ
躘,ruông,ruông
躙,lận,lận
躚,tiên,tiên
躛,vệ,vệ
躝,lạn,lạn
躞,tiệp,tiệp
躡,nhiếp,nhiếp niếp
躧,sỉ,sỉ
躩,khước,khước quặc
躪,lận,lận
身,thân,thân quyên
躬,cung,cung
躭,đam,đam xẩm
躯,khu,khu xo
躰,thể,thể
躱,đóa,đóa
躲,đóa,đóa
躳,cung,cung
躶,khỏa,khỏa lõa khoả
躷,nụy,nụy
躺,thẳng,thẳng thảng
軀,xo,xo khu
軄,chức,chức
軆,thể,thể
車,xa,xa
軋,ca,ca lóat yết
軌,quẫy,quẫy qũy
軍,quân,quân
軏,ngột,ngột nguyệt
軒,hiên,hiên hiến
軔,nhận,nhận
軛,ách,ách
軜,nạp,nạp
軟,nhuyễn,nhuyễn
転,chuyển,chuyển
軣,hoanh,hoanh oanh
軨,linh,linh
軫,chẩn,chẩn
軰,bối,bối
軲,cốc,cốc
軶,ách,ách
軷,bạt,bạt
軸,trục,trục
軹,chỉ,chỉ
軺,dao,dao diêu
軻,kha,kha
軼,dật,dật triệt điệt
軽,chí,chí khánh khinh
軾,thức,thức
軿,bánh,bánh
輀,nhi,nhi
較,giác,giác giáo giảo giếu
輅,hạch,hạch lộ nhạ
輇,thuyên,thuyên
輈,chu,chu châu
載,tải,tải tái tại
輊,chí,chí
輌,lạng,lạng lượng
輏,du,du
輒,triếp,triếp
輓,vãn,vãn
輔,phụ,phụ
輕,khinh,khinh khánh
輗,nghê,nghê
輘,lăng,lăng
輙,triếp,triếp
輛,lượng,lượng lạng
輜,chuy,chuy tri truy
輝,huy,huy
輞,võng,võng
輟,chuyết,chuyết xuyết
輠,khỏa,khỏa quả
輥,cổn,cổn
輦,liễn,liễn
輧,bình,bình bánh
輩,bối,bối
輪,luân,luân
輬,lương,lương
輭,nhuyến,nhuyến nhuyễn
輮,nhụ,nhụ
輯,tập,tập
輳,thấu,thấu
輴,xuân,xuân
輵,cát,cát át
輶,du,du
輸,thâu,thâu du thú
輹,bức,bức phúc phục
輻,bức,bức phúc
輾,niển,niển niễn triển
輿,dư,dư
轀,uân,uân uẩn ôn
轂,cốc,cốc
轄,hạt,hạt
轅,viên,viên
轆,lộc,lộc
轇,giao,giao
轉,chuyển,chuyển chuyến
轊,duệ,duệ vệ
轍,triệt,triệt
轎,kiệu,kiệu
轏,sạn,sạn
轑,lao,lao liêu liệu
轒,phần,phần
轔,lân,lân lận
轕,cát,cát
轗,khảm,khảm
轘,hòan,hòan
轜,nhi,nhi
轝,dư,dư
轞,hạm,hạm
轟,huênh,huênh hoanh oanh
轡,bí,bí
轢,lịch,lịch
轣,lịch,lịch
轤,lô,lô lư
车,xa,xa
轧,ca,ca
轨,quẫy,quẫy
轩,hiên,hiên
轫,nhận,nhận
转,chuyển,chuyển
轭,ách,ách
轮,luân,luân
软,nhuyễn,nhuyễn
轰,huênh,huênh
轲,kha,kha
轳,lô,lô
轴,trục,trục
轵,chỉ,chỉ
轶,dật,dật
轸,chẩn,chẩn
轹,lịch,lịch
轺,dao,dao
轻,khinh,khinh
轼,thức,thức
载,tải,tải
轾,chí,chí
轿,kiệu,kiệu
辀,chu,chu
辁,thuyên,thuyên
辂,hạch,hạch
较,giác,giác
辄,triếp,triếp
辅,phụ,phụ
辆,lượng,lượng
辇,liễn,liễn
辈,bối,bối
辉,huy,huy
辊,cổn,cổn
辋,võng,võng
辌,lương,lương
辍,chuyết,chuyết
辎,chuy,chuy
辏,thấu,thấu
辐,bức,bức
辑,tập,tập
辒,uân,uân
输,thâu,thâu
辔,bí,bí
辕,viên,viên
辖,hạt,hạt
辗,niển,niển
辘,lộc,lộc
辙,triệt,triệt
辚,lân,lân
辛,tân,tân
辜,cô,cô
辞,từ,từ
辟,vếch,vếch bách bễ phích thí tích tịch tỵ
辠,tội,tội
辡,biện,biện lạt
辢,lượt,lượt
辣,lượt,lượt lạt
辤,từ,từ
辥,tiết,tiết
辦,biện,biện bạn
辧,biện,biện
辨,biện,biện ban biếm biến
辩,biếm,biếm
辫,biện,biện
辭,từ,từ
辮,biện,biện
辯,biếm,biếm biến biện bạn phán
辰,thần,thần thìn
辱,nhọc,nhọc nhục
農,nông,nông
辵,sước,sước
辶,sước,sước
边,biên,biên
辺,biên,biên
込,vu,vu
辽,liêu,liêu
达,thế,thế đạt
迁,thiên,thiên
迂,vu,vu
迄,hất,hất ngật
迅,tấn,tấn
迆,di,di dĩ
过,quá,quá
迈,mại,mại
迊,nghinh,nghinh nghênh táp tạp
迋,cuống,cuống vương vượng
迍,dọn,dọn đon đón đọn đốn trốn truân
迎,nghênh,nghênh nghinh nghịnh
运,vận,vận
近,cận,cận cấn ký
迓,nhạ,nhạ
返,phản,phản phiên
迕,ngỗ,ngỗ
还,hoàn,hoàn
这,giá,giá
进,tiến,tiến
远,viễn,viễn
违,vi,vi
连,liên,liên
迟,trì,trì
迡,chầy,chầy
迢,dìu,dìu thiều điều
迣,sế,sế
迤,di,di dĩ
迥,húynh,húynh qúynh
迦,dà,dà ca già
迨,đãi,đãi
迩,nhĩ,nhĩ
迪,địch,địch
迫,bách,bách bài
迭,dật,dật tuyển điệt
迯,đào,đào
述,thuật,thuật
迳,kính,kính
迴,hồi,hồi
迷,mê,mê
迸,bình,bình bính
迹,tích,tích
迺,nãi,nãi nải
迻,đi,đi đưa đừa di
追,truy,truy đôi
迾,lướt,lướt
退,thóai,thóai thối thoái
送,tống,tống
适,quát,quát thích trích đích
逃,đào,đào
逄,bàng,bàng
逅,cấu,cấu
逆,nghịch,nghịch nghịnh
逈,húynh,húynh qúynh
选,tuyển,tuyển
逊,tốn,tốn
逋,bô,bô
逌,do,do du
逍,tiêu,tiêu
逎,tùa,tùa tù tưu
透,thấu,thấu
逐,trục,trục
逑,cầu,cầu
递,đệ,đệ
逓,đái,đái đệ
途,đồ,đồ
逕,kính,kính
逖,thích,thích địch
逗,đậu,đậu
這,giá,giá nghiện
通,thông,thông
逛,cuống,cuống
逝,thệ,thệ
逞,sính,sính
速,tốc,tốc
造,tạo,tạo tháo
逡,thuân,thuân
逢,phùng,phùng bồng
連,liên,liên liễn
逦,lệ,lệ
逩,bôn,bôn
逬,bình,bình bính
逭,quần,quần hóan
逮,đãi,đãi đệ
逯,lộc,lộc lục đãi đệ
週,chu,chu
進,tiến,tiến tấn
逴,rước,rước sước trác xước
逵,qùy,qùy
逶,uy,uy
逷,thích,thích địch
逸,dật,dật
逹,đạt,đạt
逻,lạ,lạ
逼,bức,bức
逾,du,du dũ
逿,đãng,đãng
